text,coarse_label,fine_label,label
"Innenminist. MV (Caffier) federführend im NPD-Verbotsverfahren. Gestern Optimist für Verbot, heute stolz auf den Rechtsstaat, so geht CDU",OTHER,OTHER,0
"@USER Das ist leider nicht ganz klar. Unser Ziel war es etwas für alle zu schaffen, die nicht Mann oder Frau sind. Mal sehen was der Gesetzgeber draus macht dritteoption",OTHER,OTHER,0
@USER @USER ein paar von den großen Medien haben es tatsächlich hinbekommen. Der @USER zB. mein ich.,OTHER,OTHER,0
@USER Araber haben schon ekelhafte Fressen....!,OFFENSE,ABUSE,1
@USER Lindner hat es nur verdeutlicht was mittlerweile alles wissen....Die Grünen sind zu nichts zu gebrauchen...!,OTHER,OTHER,0
Herzlichen Glückwunsch zu 70 Jahren FU Bayern! Danke für euer Engagement! CSU Frauenpower,OTHER,OTHER,0
"@USER @USER Wer die WM als Politiker ""guten Gewissens"" besuchen will, der muss das mit einem aktiven Einsatz für die politisch Verfolgten in Russland und für ein Ende des Krieges und der Besetzung in der Ukraine verbinden. Das wäre auch gut für Russland.",OTHER,OTHER,0
@USER @USER Den Kleber sollten sie nicht anzeigen sondern *zensiert*!,OFFENSE,ABUSE,1
@USER Erstaunt? Ich nicht. Friedensnobelpreisträger sind so. -siehe Obama - unter ihm gab es die meisten Kriege.,OTHER,OTHER,0
@USER Doch genau das bin ich - sie scheinen aber zu den 13 % vom anderen Ufer zu sein,OTHER,OTHER,0
Wichtige Info für eure Pride Week-Planung: Die für heute geplante Queer HalliGalli Party auf dem Dom kann leider nicht stattfinden.,OTHER,OTHER,0
@USER Man kann auch alles übertreiben!,OTHER,OTHER,0
Eines Tages wird sich Russland mit China und einige andere Länder verbünden und das war es denn mit den Größenwahn von Amerika.,OTHER,OTHER,0
"@USER @USER Welcher Staat, welchen meinst du!?",OTHER,OTHER,0
"@USER @USER Das schlimme daran ist, das dieser sogenannte Eid, nicht mehr als ein Lippen Bekenntnis ist und man Merkel bei zuwiederhandlung nicht einmal Strafrechtlich belangen kann.",OTHER,OTHER,0
Der neue Newsletter ist da! Thema ist unter anderem die Rede von @USER Netanyahu vor NATO-Botschaftern in Israel,OTHER,OTHER,0
"Liebe @USER, den Niedergang der Ösi-Grünen und diesen Herrn Pilz will ich von @USER erklärt bekommen. Geht da was heute?",OFFENSE,INSULT,1
"Worterklärungen: |LBR| Vierling = 9,26 cdm |LBR| Imber = Ingwer |LBR| Lott = 16 g |LBR| Musgatnus = Muskatnuss |LBR| Nägl = Nelken",OTHER,OTHER,0
"@USER @USER Also ich finde, damals konnte man das durchaus tragen. ;-)",OTHER,OTHER,0
@USER @USER SPD erwacht nicht mehr aus Koma...das was wir sehen sind nur die letzte Zuckungen eines dahinsiechenden....! |LBR| Schon gut so...R.I.P.....SPDler...,OTHER,OTHER,0
"@USER Sie meinte, ich solle die Mäuse allein fangen - zu flink die Viecher, ich würde verhungern",OTHER,OTHER,0
"Der einzige, der sich noch darüber freut, dass Merkel auf ihrem Stuhl klebt |LBR| ist der beginnende |LBR| Dekubitus.",OFFENSE,INSULT,1
"""Edel sei der Mensch, hilfreich und gut"" - Nicht eine dieser Charaktereigenschaften kann Merkel für sich beanspruchen.",OTHER,OTHER,0
"Die Grünen sollten sich lieber auf die Themen konzentrieren, statt Posten einzufordern.",OTHER,OTHER,0
"Pervers. Die Türken fordern Gerechtigkeit. Anstatt dort, wo sie die |LBR| Ungerechtigkeit gewählt haben, fordern sie das in Österreich. Haut ab.",OFFENSE,ABUSE,1
"@USER @USER @USER Die Menschen glauben an den Weihnachtsmann, Gerichte sind mit Nichten unabhängig, in der BRD gibt es ausschließlich freiwillige Ausnahmegerichte.",OTHER,OTHER,0
"@USER Kann ja mit Kahane, de Maizire Wagenknecht, Trittin, und Eckhard, Maas. Eine neue SED Partei gründen. Hauptsache IMErika ist weg.",OFFENSE,INSULT,1
Na Kameraden alles gut bei euch ich hoffe ihr habt nen schönen Abend,OTHER,OTHER,0
"@USER @USER Dieser Typ erinnert mich in Agitation und Erscheinung an Subjekte der NS Zeit, er wird zusammen mit der Raute unser Grab schaufeln, Deutschland und die Deutschen werden zugunsten eines totalitären EU Systems vollständig vernichtet werden",OFFENSE,INSULT,1
"""Streit um Flüchtlings-Obergrenze - So könnten CDU und CSU ihr Gesicht wahren"" Wenn eine hässliche Fratze gemeint ist, geht`s",OFFENSE,INSULT,1
"Heute ist der dritte Tag der Sondierungsgespräche mit der Union. |LBR| Gestern ganztägig bis Mitternacht verhandelt. Konzentrierte, teilweise schwierige und kontroverse, aber weitgehend professionelle Verhandlungen. |LBR| Wie immer gilt: Nichts ist vereinbart, bevor alles vereinbart ist.",OTHER,OTHER,0
@USER @USER Was willst du uns leaken oder was lel,OTHER,OTHER,0
"@USER @USER @USER Von Parteien hat das deutsche Volk die Schnauze voll, schon gar von Linken. |LBR| Wenn wir heute den Begriff „Kriminelle Vereinigung „ hören denken die meisten an den sogenannten Bundestag/Bundesregierung.",OFFENSE,ABUSE,1
"@USER @USER Das wird das Problem sein, statt Bildung bekommen sie „Aus-bildung“",OTHER,OTHER,0
"@USER Mit wenigen Maus klicken im Internet, hatten Sie Frau Maischberger heraus finden können das die Aussage von Herr Hollstein eine Lüge war.",OTHER,OTHER,0
@USER @USER @USER @USER Also mich macht es froh wenn Leute ins Nachdenken kommen. Dann haben wir ein großes Ziel erreicht! dritteoption,OTHER,OTHER,0
@USER Jedes 4 Kind in Deutschland ist arm. Rentner sammeln Flaschen. Familien bekommen keine Wohnungen. Arbeiten bis 67. Aber wir holen uns noch mehr Sozialfälle ins Land!!! Alles zum Wohl des Deutschen Volkes. Zeit dieses Land zu verlassen.,OTHER,OTHER,0
@USER SPD ist der größte Dreck geworden....Stegner und Schulz so ziemlich das lächerliste was es zu bieten hat...!,OFFENSE,ABUSE,1
@USER @USER Wetten.du bist so ein verbittertes scheidungskind,OTHER,OTHER,0
"@USER Die Pegidareden in Dresden sind hörenswert. Wenn da dumme Nazis aufspringen, sollte man trotzdem nicht alle über einen Kamm scheren. Beim Islam können sie dann plötzlich immer differenzieren...",OTHER,OTHER,0
@USER @USER @USER @USER @USER Was wollen diese linken eigentlich damit erreichen ?,OTHER,OTHER,0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Nicht so gereizt, das BKA hat das Gutachten gemacht - nicht ich. Und da der internationale Druck groß war, musste der Spiegel was dazu schreiben.",OTHER,OTHER,0
"Türken, die sich die österreichische Staatsbürgerschaft erschlichen haben |LBR| müssen aufgedeckt und verurteil werden. Davonjagen.",OFFENSE,ABUSE,1
"@USER Da er nicht in einer Kirche oder kirchlichen Stätte aufgetreten ist, fällt das nicht in unsere Zuständigkeit.",OTHER,OTHER,0
"Unsere jetzige Regierung ist Verbrecherisch,Hochkriminell,AntiDEUTSCH,Korrupt und Geldgierig. Also ?? Was soll man mit so einen Scheiß ??",OFFENSE,ABUSE,1
@USER Merkel geht wohl die Muffe.,OTHER,OTHER,0
Dortmund haut wieder auf die Kacke ! Die wollen die ganzen Braunhäutigen verjagen mit dem Slogan BUNT STATT BRAUN !! BRAVO !!!,OFFENSE,ABUSE,1
@USER @USER Ich freue mich .Es gibt manchmal doch Gerechtigkeit!,OTHER,OTHER,0
@USER Ich schäme mich in solchem Verbrecherstaat mit deutschfeindlichen Ganoven-Richtern und korrupten Politikern zu leben!,OFFENSE,ABUSE,1
"@USER Ist doch wahr, denn dieses dicke Etwas bekommt kaum zwei zusammenhängenden Sätze heraus und von sinnvoll rede ich garnicht erst",OFFENSE,ABUSE,1
"@USER Die können mich weiterhin erreichen über Twitter, Google+, Skype, Whatsapp etc. Kein Mensch muss Facebook haben.",OTHER,OTHER,0
@USER :D Wir lassen halt nichts aus und arbeiten und langsam in die Neuzeit vor. ;-),OTHER,OTHER,0
@USER @USER Hetze haben weder Fakten noch Argumente je ersetzt.,OTHER,OTHER,0
@USER @USER @USER |LBR| Die Staatsanwaltschaft/Richter führen nur Anordnungen von oben aus! |LBR| Die Politiker aus dem BMI sinds,OFFENSE,ABUSE,1
Die EU dient zur Aushebelung der Selbstbestimmung der europ. Völker |LBR| Die Migranten sollen eine Wählermehrheit für die EU Wahl schaffen |LBR| Dann wird alles als freier Wille der Nationalstaaten dargestellt. |LBR| Ziel: Zentralregierung in Brüssel,OFFENSE,ABUSE,1
@USER Nicht nur posten.... Kosten mitteilen denn alles andere läuft nicht. Nicht einmal diese Website,OTHER,OTHER,0
"Juhu, der Bayer ohne Eier will wieder einmal alles nach der Wahl richten ich pinkel mir vor Lachen gleich ein",OFFENSE,INSULT,1
@USER Wer meint typisch deutsch sei zwangsläufig mit Nazi zu vergleichen ...der ist hirnlos |LBR| Typisch deutsch?...z.B...wir wurden Weltmeister und Millionen von Nazis haben gejubelt..? |LBR| Typisch deutsch?...z.B...jeder der unsere Hymne singt,OTHER,OTHER,0
Dass wir diese ganzen IS-Kämpfer haben ist ausschließlich die |LBR| Schuld der Amerikaner. Scheinheiliges Volk.,OFFENSE,INSULT,1
Migrantenanteil in Großstädten |LBR| München 36% |LBR| Frankfurt 43% |LBR| Stuttgart 38% |LBR| Nürnberg 37% |LBR| Köln 31% |LBR| Hamburg 27% |LBR| Berlin 25% |LBR| Der Westen so gut wie verloren wenn sich nix ändert,OFFENSE,ABUSE,1
@USER @USER Merkel bekommt Angst und versucht jetzt mit allen Mitteln ihre Macht zu erhalten!!,OTHER,OTHER,0
@USER Beweisen sie Gott und melden sie sich bitte wieder. Die Beweispflicht obliegt nicht den Atheisten.,OTHER,OTHER,0
@USER Das ist ein ultra wichtiger Punkt und wir hoffen sehr dass die unnötigen Operationen aufhören. Aber da ist noch viel Arbeit und Aufklärung notwendig,OTHER,OTHER,0
"@USER @USER In diesem Kiez sollten besser 1000 Wahre Deutsche leben ,als dieses Pack von linken Anarchisten!",OFFENSE,ABUSE,1
@USER Obwohl Göring kein Interesse hat etwas gutes zu tun ist sie trotzdem nicht unser Problem... |LBR| Sie spricht nur zu einer kleiner Gruppe von Menschen ....die sind das Problem und das sind Deutsche..leider!,OTHER,OTHER,0
"@USER @USER Auch wir im ENBW -Land haben viel zu hohe Stromkosten ,dank erneuerbarer Energie,hast du Wind hast du Strom ,hast du kein Wind hast du hoffentlich Kerzen !",OTHER,OTHER,0
@USER Was hat das mit meinem Anfangstweet zu tun? Troll woanders.,OTHER,OTHER,0
@USER @USER Die Frauen die nach Geschäftsschluss mit öffentlichen Verkehrsmitteln nach Hause fahren müssen tun mir leid.und wenn man dann durch Käfertal und Viernheim nach Weinheim fahren muss hat man das Gefühl die RNV fährt durch den Kongo.,OFFENSE,ABUSE,1
@USER Jerusalem war schon immer die Hauptstadt von Israel genauso wie die Palästinenser schon immer Terroristen waren.,OFFENSE,ABUSE,1
Tja liebe Altparteien. Hättet ihr eine deutsch/bürgerfreundliche Politik gemacht könntet ihr eure Posten behalten |LBR| Jetzt muss es AfD richten,OTHER,OTHER,0
Diese Aussage wurde in der ARD einfach rausgeschnitten!,OTHER,OTHER,0
"@USER Was hast du gegen Asiaten, du Halbnigger?!",OFFENSE,ABUSE,1
Martin Schulz ist 2x sitzen geblieben und hat keinen Schulabschluss. |LBR| Wie kann denn so ein Nulltipper als Kanzlerkandidat aufgestellt werden?,OFFENSE,INSULT,1
@USER fröhlicher gruß aus dem metronom in meine alte heimat,OTHER,OTHER,0
"Erneut Bekanntschaft mit linkem Philosemitismus aus Deutschland, der bevormundet, gemacht. Meinen kritischen Retweet der Neonazis vom »3. Weg« warf man mir sogar als Sympathie vor. Dass diese Partei doch gegen Juden sei, erklärte man mir oberlehrerhaft. Was ein Shmock!",OTHER,OTHER,0
"@USER @USER Alles zu spät und verlogen, der Schaden ist angerichtet, alle Parteien müssen weg, das Volk ans Ruder.",OTHER,OTHER,0
@USER Das ist die Stadt mit der Armlänge.... |LBR| Wenn ein Volk seine Frauen und seine Kinder nicht beschützt...welchen Wert hat es dann noch..? |LBR| Yücel hatte recht....die Deutschen taugen nicht viel ..!,OFFENSE,ABUSE,1
"@USER @USER Ja. Da fehlen dir noch 2. Und die müssen nicht im Kreis w..retweeten, sondern hinausziehen zu den Barbaren und ihnen das Evangelium predigen. Also z.B zu den Mullahs, die gerade eine Frau steinigen, weil ihr Kopftuch verrutscht ist.",OFFENSE,ABUSE,1
"@USER @USER Wie gesagt. Dumme Kinder von alt 68er die man besser abgetrieben, oder besser ins Klo gewichst hätte. Und ich bin kein AFD Wähler.",OFFENSE,ABUSE,1
@USER Wir brauchen dringend einen RESET der MsM und des Grundschulsystems ohne diese verfluchten Handsockenpuppen schwingenden ÖkoAntifaFeministinnen ! DRINGLICHST !!,OFFENSE,INSULT,1
@USER @USER @USER @USER Sie nennen es Hallal. Ich nenne es Tierquälerei der schlimmsten Sorte. Und Deutsche Supermärkte unterstützen so etwas sogar.,OTHER,OTHER,0
"@USER Ich schreibe seit 15 Jahren dt./pl. EU-Projekte, seit 41 Jh. habe ich einen pln. Familienteil, ich käme nur nach Hause",OTHER,OTHER,0
"@USER Hoher Anspruch im Namen und wurde für zu leicht befunden ! Du , für sie reicht einfach der Respekt nicht kennst auch den Unterschied zwischen einem Lieferwagen und einem muslimischen Terroristen nicht ! Das böse und schlimme daran ist das du das garnicht willst!",OFFENSE,INSULT,1
@USER nö. damit hat er ja sogar recht. es ging aber um eine alternative zur quote.,OTHER,OTHER,0
@USER @USER Was ist den das fette etwas da ..?,OFFENSE,INSULT,1
"@USER @USER Was, Kurz zu Gast bei der Küchenschabe, hoffe er hat den Kammerjäger dabei",OFFENSE,INSULT,1
"@USER Wie heißt es doch : ""Humor ist, wenn man trotzdem lacht.""",OTHER,OTHER,0
@USER @USER Der ist auch älter und anscheinend noch nicht so verstrahlt und lässt mit sich reden,OTHER,OTHER,0
Deutschlands Zukunft wird am Hindukusch entschieden SPD Zitat |LBR| Das stimmt. Wir haben dort verloren. Jetzt fluten die Afganen nach Deutschland und zerstören es von innen.,OFFENSE,ABUSE,1
"@USER Damit schafft man die Ursachen nicht ab, die Ursachen liegen viel tiefer. Ist wie im Drogenhandel: Wenn man nur den Kurier bestraft, ändert sich gar nichts.",OTHER,OTHER,0
"Wenn wir den ""Schiffbrüchigen"" konsequent den Weitertransport nach |LBR| Europa verwehren, werden sie das den anderen per Handy melden.",OTHER,OTHER,0
Es geht also doch. Österreich macht es uns vor.,OTHER,OTHER,0
Demokratie in Spanien? |LBR| Wer anderer Meinung ist wird entmachtet! |LBR| Kämpft für eure Freiheit! |LBR| Katalonien,OTHER,OTHER,0
@USER @USER Kümmert die einen feuchten D....,OFFENSE,PROFANITY,1
@USER Schäuble als Finanzminister war ein Desaster. |LBR| Und seine Tochter wird von der GEZ bezahlt |LBR| Müssen wir wirklich für alle Schäubles aufkommen..?,OTHER,OTHER,0
"Wenn die Flugzeugführer Angst haben vor Migranten, müssen die Herrschaften eben |LBR| in Handschellen abgeschoben werden. Wo sind wir denn?",OTHER,OTHER,0
"Vehement kotzt sich d. CDU üb. Nazis in d. AfD aus,hatte aber nach 45 Nazitäter in d. Regierung u behinderte d. Aufarbeitung d. 3. Reiches",OFFENSE,ABUSE,1
